Aktornavn,StatusDescription,Orgnummer,GodkjentEtterLov
Aalesund International School Sti,I drift,995614251,privatskoleloven
Aglo videregående skole,I drift,989004255,privatskoleloven
Akademiet Drammen AS,I drift,985475296,privatskoleloven
Akademiet Fredrikstad AS,I drift,988467944,privatskoleloven
Akademiet Kristiansand AS,I drift,980412024,privatskoleloven
Akademiet Norsk Restaurantskole Sti,I drift,913443330,privatskoleloven
Akademiet Oslo AS,I drift,987619295,privatskoleloven
Akademiet Realfagsskole Drammen AS,I drift,911746298,privatskoleloven
Akademiet Realfagsskole Oslo AS,I drift,911768151,privatskoleloven
Akademiet Realfagsungdomsskole Ålesund AS,I drift,918520155,privatskoleloven
Akademiet Sandnes AS,I drift,887504822,privatskoleloven
Akademiet Toppidrettsgymnas Ålesund AS,I drift,811731242,privatskoleloven
Akademiet Ungdomsskole Asker AS,I drift,926391135,privatskoleloven
Akademiet Ungdomsskole Drammen AS,I drift,913439694,privatskoleloven
Akademiet Ungdomsskole Lier AS,I drift,920351433,privatskoleloven
Akademiet Vgs Bergen AS,I drift,886897502,privatskoleloven
Akademiet Vgs Bislett AS,I drift,988930687,privatskoleloven
Akademiet Vgs Bragernes Drammen AS,I drift,996768406,privatskoleloven
Akademiet Vgs Kongsberg AS,I drift,924427736,privatskoleloven
Akademiet Vgs Møre AS,I drift,981120973,privatskoleloven
Akademiet Vgs Sandvika AS,I drift,911732912,privatskoleloven
Akademiet Vgs Ålesund AS,I drift,884744342,privatskoleloven
Akademiet Ypsilon videregående Skole AS,I drift,988930695,privatskoleloven
Alta Kristne Grunnskole SA,I drift,985621519,privatskoleloven
Andørja montessoriskole,I drift,986556427,privatskoleloven
Berg montessoriskole,I drift,993887595,privatskoleloven
Bergen Kristne grunnskole,I drift,987769947,privatskoleloven
Bergen private gymnas AS,I drift,988594024,privatskoleloven
Bergsbygda montessoriskole,I drift,995312875,privatskoleloven
Bindalseidet Skole SA,I drift,991288716,privatskoleloven
Birralee International School Trondheim AS,I drift,936269044,privatskoleloven
Biss Gausel Sti,I drift,920222315,privatskoleloven
Biss Sentrum AS,I drift,818476272,privatskoleloven
Bjerkely skole,I drift,989695975,privatskoleloven
Bjørgvin montessoriskole,I drift,992765828,privatskoleloven
Bjørkly Skole - stiftelsen Namsos Kristne grunnskole,I drift,979955316,privatskoleloven
Bleik og Omegn Montessori Skolelag,I drift,994627988,privatskoleloven
Blå Kors videregående Skole Grimstad AS,I drift,922084610,privatskoleloven
Blå Kors videregående Skole Øvrebø AS,I drift,971534346,privatskoleloven
Bodalen Friskole SA,I drift,990093016,privatskoleloven
Brandal Friskulelag,I drift,888421432,privatskoleloven
Briskeby videregående Skole AS,I drift,986678298,privatskoleloven
Bryggja Skule AS,I drift,920314767,privatskoleloven
Buen barne- og ungdomsskole,I drift,987307609,privatskoleloven
Bybroen videregående Skole AS,I drift,951190470,privatskoleloven
Båtsfjord private videregående Skole AS,I drift,995352699,privatskoleloven
Campus Blå videregående Skole AS,I drift,918451080,privatskoleloven
Childrens International School Fredrikstad AS,I drift,996741206,privatskoleloven
Childrens International School Moss AS,I drift,813436612,privatskoleloven
Childrens International School Sarpsborg AS,I drift,920314988,privatskoleloven
Create - Lillehammer Kreative videregående Skole AS,I drift,920292682,privatskoleloven
Dalsgrenda Montessoriskole SA,I drift,995169266,privatskoleloven
Danielsen Ungdomsskole Haugalandet AS,I drift,996678644,privatskoleloven
Danielsen Ungdomsskole Karmøy AS,I drift,998084288,privatskoleloven
Danielsen Ungdomsskule Frekhaug AS,I drift,996678628,privatskoleloven
Danielsen Ungdomsskule Osterøy AS,I drift,995263866,privatskoleloven
Danielsen barne- og Ungdomsskule Sotra,I drift,989077716,privatskoleloven
Den Norske Skolen i Albir,I drift,928410382,privatskoleloven
Den Norske Skolen i Kenya,I drift,996516563,privatskoleloven
"Den Norske Skolen, Malaga",I drift,915543375,privatskoleloven
Den norske skole - Costa Blanca,I drift,U90099009,privatskoleloven
Discovery International School AS,I drift,922104794,privatskoleloven
Drottningborg Ungdomsskole AS,I drift,914128307,privatskoleloven
Drottningborg Vgs AS,I drift,988982342,privatskoleloven
Drøbak Montessori Barneskole AS,I drift,933113582,privatskoleloven
Drøbak Montessori Ungdomsskole AS,I drift,993484407,privatskoleloven
Eidskog Montessoriskole SA,I drift,991584617,privatskoleloven
Ekrehagen Skole Adventistsamfunnets Grunnskoler,I drift,971578262,privatskoleloven
Elihu Kristne grunnskole,I drift,975791386,privatskoleloven
Elsfjord Montessoriskole SA,I drift,918475508,privatskoleloven
Eltoft Montessoriskole AS,I drift,911742578,privatskoleloven
Engesvea barne- og ungdomsskole,I drift,976202465,privatskoleloven
Escuela Noruega De Rojales Fundacio De La Comunitat Valenciana,I drift,993965820,privatskoleloven
Fagerenget Montessoriskole SA,I drift,917402280,privatskoleloven
Fagerhaug International School AS,I drift,997260864,privatskoleloven
Fagerhaug Kristne Skole SA,I drift,989432699,privatskoleloven
Feiring videregående Skole AS,I drift,917790337,privatskoleloven
Fiksdal Friskule SA,I drift,922148430,privatskoleloven
Finnskogen Montessoriskole SA,I drift,991514724,privatskoleloven
Foreninga Norheimsund friskule,I drift,989075926,privatskoleloven
Foreningen Danielsen Intensivgymnas,I drift,989077627,privatskoleloven
Foreningen Danielsen Ungdomsskole Bergen,I drift,989077554,privatskoleloven
Foreningen Danielsen videregående skole,I drift,989077457,privatskoleloven
Forus Friskole AS,I drift,993272590,privatskoleloven
Framnes Kristne vidaregåande skule,I drift,976793773,privatskoleloven
Fresvik Enspire Skule AS,I drift,922085846,privatskoleloven
Frikult Grunnskole AS,I drift,920291783,privatskoleloven
