Navn,Lengdegrad,Breddegrad
Lørenskog voksenopplæring,10.93744,59.9236
Storøya skole,10.61135,59.89442
Halsa barne- og ungdomsskole,8.32274,63.1201
Lerberg skole og kompetansesenter,9.91855,59.77839
Morellbakken skole,10.78139,59.94854
Nordpolen skole,10.77273,59.93993
Harstad kommune Stangnes ungdomsskole,16.5832,68.78708
Sørestranda skule,6.55067,62.38336
Lidar skule,8.97534,61.2021
Frydenberg skole,10.79044,59.92871
Unjargga Oahppogaldu Nesseby oppvekstsenter avd skole,28.55257,70.17426
Tistedal skole,11.4542,59.132
Sokndal skole,6.29575,58.3441
Fyrstikkalleen skole,10.79432,59.91526
Hemnskjela oppvekstsenter Avdeling skole,9.13232,63.49381
Krossen skole - Kompetanse,7.9538,58.15391
Ringebu skole,10.1439,61.53321
Tranevågen ungdomsskule,4.99476,60.40992
Kjeller skole,11.04038,59.97391
Bønsmoen skole,11.17933,60.28395
Smestad skole,11.09149,59.90761
Drangedal 10-Årige skole,9.05792,59.09819
Helle skole,9.37098,58.90382
Smøla ungdomsskole,8.00951,63.4601
Nordstranda skule,6.19099,61.78863
Breim skule,6.5014,61.73239
Lundehaugen ungdomsskole,5.72557,58.82743
Frakkagjerd barneskole,5.4051,59.41352
Nord-Fron kommune Voksenopplæringen,9.73818,61.59572
Halden kommune Felles Grunnskoletjeneste,11.3872,59.12238
Nes barneskole,10.84308,60.80162
Gystadmarka skole,11.19273,60.15197
Rådalslien skole,5.32906,60.29183
Bamble kommune Fellestjenester Oppvekst,9.74608,59.00144
Hundsund ungdomsskole,10.6215,59.89015
Marienlyst ungdomsskole,10.20251,59.73357
Skulane Fellesfunksjonar,6.41838,60.62784
Vadsø ungdomsskole og voksenopplæring avd skole,29.74564,70.08041
Flesberg kommune Spesial Tiltak Oppvekst,9.572594881684177,59.83788771479477                       # Hentet fra Google Maps
Kristiansand Internasjonale skole,8.01744,58.15611
Mykje skole,5.33037,59.35006
Buggeland skole,5.75449,58.81477
Lunner barneskole,10.55688,60.29675
Fagereng skole,18.90475,69.64297
Sundvollen oppvekstsenter Avdeling skole,10.31306,60.05833
Vøyenenga skole,10.47683,59.90696
Brekkåsen skole,10.23195,63.26968
Åfjord kommune voksenopplæring,10.22345,63.96113
Marikollen skole,11.97187,60.19132
Havlimyra skole,8.034,58.19145
Bogstad skole,10.63645,59.96113
Suldal kommune Skulefagleg Rådgjevar,6.25225,59.48569
Indre Østfold kommune Migrasjonssenteret avd voksenopplæring,11.13501,59.58661
Kastellet skole,10.79223,59.87347
Oserød skole,10.43822,59.19972
Ombo oppvekstsenter Avdeling skule,5.94584,59.23545
Bodøsjøen skole,14.44077,67.27086
Langnes skole,18.93973,69.68134
Breidablik læringssenter avd grunnskole,5.27286,59.41218
Grevlingen skole,10.70108,59.51772
Apeltun skole,5.34213,60.29769
Andenes skole,16.12837,69.31602
Smi-Skolen Troms,18.97889,69.68602
Sjøskogen skole,10.7726,59.74174
Lindebøskauen skole,7.99934,58.0883
Røråstoppen skole,10.27935,59.37109
Porsgrunn kommune Vikarer Grunnskole/Sfo,9.65686,59.14187
Flåtestad ungdomsskole,10.80332,59.77069
Holte skole,8.0953,58.1282
Ra ungdomsskole,9.98791,59.04752
Åsnes opplæringssenter,12.05093,60.57717
Sørbø skole,5.73013,58.82558
Sandfallet ungdomsskole,23.31189,69.97345
Vollen ungdomsskole,10.48965,59.80071
Tinntjønn skole,7.7655,58.10169
Skogmo skole,11.20091,60.13765
St. Marie læringssenter Særskilt Norsk,11.11663,59.27929
Karuss skole,7.95067,58.12924
Hordabø skule,4.92852,60.7008
Skåredalen skole,5.32768,59.41097
Tastarustå skole,5.69202,58.98634
Upa skole,6.32271,62.46543
Trondheim voksenopplæringssenter,10.39756,63.40511
Skolen St Olavs hospital,10.38979,63.42041
Vikevåg skule,5.69861,59.10359
Gulskogen skole,10.16881,59.74117
Gimle skole,11.40961,59.13754
Markaplassen skole,10.5292,63.41343
Bakkeløkka ungdomsskole,10.60235,59.73695
Lunde skole,5.73994,59.00198
Smeaheia skole,5.72287,58.86341
Hisøy skole 1-10 Skoler,8.76525,58.44498
Jappa skole,8.58884,58.34834
Lonevåg skule,5.5099,60.52149
Valby skole,10.09113,59.0451
Apalløkka skole,10.86426,59.95948
Madsebakken skole,9.67369,59.66895
Neskollen skole,11.33916,60.12525
Lillesand kommune - Sentraladministrasjon skole,8.37863,58.24981
Gullhaug skole,10.491774832354833,59.94522605569779                                            # Hentet fra Google Maps
Berg skole,9.66616,59.60445
Stokksund skule,5.72868,62.30293
Bjørnholt ungdomsskole,10.83432,59.83557
Hesseng flerbrukssenter avd skole,29.98815,69.69109
Hegra ungdomsskole,11.11042,63.46836
Hvalstad skole,10.46451,59.86011
Solneset skole,18.9547,69.69605
Benterud skole,10.94974,59.91748
Presteheia skole,8.01095,58.16657
Sande skole,5.65531,58.88849
Torvmyrane skule,5.07792,61.59934
Ura skole,12.56481,66.00295
Breimyra skole,5.36676,60.4585
Dyrløkkeåsen skole,10.65541,59.66777
Lurahammaren ungdomsskole,5.74587,58.88156
Bratteberg skule,6.11279,62.14949
Odderhei skole,8.07648,58.13435
Halhjem barneskule,5.43943,60.14375
Flatene skule,5.83755,61.44873
Fosslia skole,10.94159,63.48099
Løkeberg skole,10.54743,59.90972
Godlia skole,10.84696,59.90702
Bogafjell skole,5.75067,58.82116
Ringvoll skole,10.84512,59.55685
Tæruddalen skole,11.01775,60.01295
Skien kommune Spesialpedagogisk Enhet,9.61067,59.22118
Skistua barneskole,17.44248,68.4351
Vestbyen skole,11.47119,64.47013
Tunballen skole,7.85811,58.16933
Austevoll kommune Vaksenopplæringa,5.22229,60.09494
Ormåsen barneskole,9.82227,59.75461
Søyland skole,6.64351,58.30385
Brakahaug skole,5.31892,59.40165
Kragerø læringssenter,9.408837061039335,58.86729447074864                                          # Hentet fra Google Maps   
Storelva skole,18.79758,69.68563
Reinen skole,18.96651,69.63572
Workinnmarka skole,18.93433,69.66726
Nordlandet barneskole,7.75596,63.10788
Kulstad skole,13.19972,65.86606
Skranevatnet skole,5.28357,60.3005
Blakstad skole,10.45571,59.81285
Grønnåsen skole,14.46577,67.28043
Hårstad skole,10.38267,63.35115
Okstad skole,10.37951,63.38119
Eberg skole,10.43967,63.41865
Verket skole,10.67877,59.44463
Voss vaksenopplæring,6.41074,60.62829
Våge skule,5.03368,61.28228
Lye ungdomsskule,5.73885,58.73341
Vardeåsen skole,11.04725,60.01218
Lamarka skole,15.38843,68.68526
Skøyen skole,10.6906,59.92906
Engebråten skole,10.77551,59.95975
Seterbråten skole,10.82951,59.83044
Svendstuen skole,10.68903,59.95834
Karlsrud skole,10.80928,59.87807
Skullerud skole,10.84796,59.87041
Groruddalen skole,10.88881,59.95512
Nordberg skole,10.73137,59.9628
Øygarden ungdomsskule,4.90768,60.51627
Lassa skole,5.6947,58.95744
Teinå skole,5.68225,58.98997
Harstad kommune Medkila barneskole,16.5421,68.7598
Vardåsen skole,10.38131,59.81999
Sveberg skole,10.75815,63.42213
Vefsn voksenopplæring,13.2163,65.83663
Austerdalen skole,7.03404,58.35625
Vennesla voksenopplæringssenter,7.97094,58.27064
Gimsøy skole,9.60869,59.19356
Skolen Ved Modum Bad,9.94513,59.96714
Voksenopplæring for Lunner og Gran,10.61615,60.29214
Lutvann skole,10.86983,59.92477
Singsaker skole,10.41366,63.42351
Dalgård skole og ressurssenter,10.34111,63.39571
Lyngdal kommune voksenopplæring,7.09803,58.15812
Fjellsdalen skole,5.29424,60.33575
Vinstra ungdomsskole,9.76145,61.59215
Gjøvik læringssenter - omsorgssenter,10.67786,60.78728
Voksenopplæringen for Øvre Romerike,11.18623,60.14879
Holumskogen skole,10.93796,59.98429
Læringsmiljøsenteret,10.95938,59.92588
Kringsjå skole,10.73013,59.96261
Stenbråten skole,10.82514,59.85242
Mølladammen ungdomsskole,10.49731,59.95004
Vikåsen skole,10.53466,63.4129
Slåtten skule,5.89409,61.46323
Hamna skole,18.97965,69.70312
Stavset skole,10.33204,63.38676
Østli skole,10.806551142662554,59.782161868011606                                            # Hentet fra Google Maps
Tjødnalio skule,5.40665,59.77082
Seljord barne- og ungdomsskule skole 1-10,8.623,59.48311
Vikhammer ungdomsskole,10.63167,63.43786
Vågen læringssenter,5.28777,59.27926
Ambjørnrød skole,10.92182,59.24687
Garderåsen skole,11.15283,59.94248
Kleiverud skole,10.28098,59.51247
Hjelteryggen skule,5.15361,60.38399
Tromsø kommune Læring Gjennom Arbeid,18.91599,69.62966
Dale barneskole,7.78901,63.12349
Solås skole,5.86423,58.77333
Rosten skole,10.38138,63.35896
Gamlegrendåsen skole,9.66457,59.65075
Tanem skole,10.42671,63.30748
Rasta skole,10.93849,59.92036
Lillesand kommune - Tingsaker skole,8.3993,58.25998
Varhaug ungdomsskule,5.6607,58.62009
Vikemarka skule,6.13091,62.20563
Skjervøy ungdomsskole,20.97167972534115,70.03351049009811                                  # Hentet fra Google Maps    
Ravnanger ungdomsskole,5.15052,60.46407
