Navn,Lengdegrad,Breddegrad
Amalie Skram videregående skole,5.33808,60.38566
Eksamenskontoret i Agder fylkeskommune,7.99013,58.14841
Kuben Yrkesarena,10.81636,59.92755                                               # Er dette en skole?
Kongshavn videregående skole,10.75824,59.89738
Lerberg skole og kompetansesenter,9.91855,59.77839
Hadeland videregående skole,10.5768,60.35526
Telemark fylkeskommune Privatisteksamen,9.60844,59.20991
Rud videregående skole avd Ila Fengsel,10.58272,59.95451
Strinda videregående skole,10.42726,63.42052
Charlottenlund videregående skole,10.48645,63.42022
Nydalen videregående skole,10.76286,59.95057
Vestfold fylkeskommune Privatisteksamen,10.41594,59.26544
Fyrstikkalleen skole,10.79432,59.91526
Thora Storm videregående skole,10.38827,63.42784
Karriere Innlandet,11.0827,60.79515
Vågen videregående skole,5.74094,58.85072
Kompetansebyggeren,10.3996,59.27421
Nordahl Grieg videregående skole,5.32452,60.29918
Mailand videregående skole,10.96006,59.92947
Bjørnholt videregående skole,10.83558,59.83445
Jåttå videregående skole,5.72784,58.91357
Olsvikåsen videregående skole,5.22135,60.3783
Frogn videregående skole,10.6606,59.6924
Sandvika videregående skole,10.51761,59.8928
Nannestad videregående skole,11.02028,60.21991
Oslo voksenopplæring Helsfyr,10.79646,59.91336                                 # Er dette en vgs skole?
Båtsfjord videregående skole,29.71775,70.63305
Smi-Skolen Troms,18.97889,69.68602
Åsnes opplæringssenter,12.05093,60.57717
Oslo voksenopplæring Sinsen,10.7871,59.93261
Byåsen videregående skole,10.36376,63.39538
Upa skole,6.32271,62.46543
Hollenderhaugen skolesenter,5.29277,59.40265
Kongsskogen videregående skole Avdeling Asker,10.37388,59.8066
Ung Invest Aib avd Midtfylket,9.97575,59.94489
Brundalen videregående skole avd Trondheim Kretsfengsel,10.47546,63.42085
Statped Oslo Diamanten skole skole for Elever Med Døvblindhet,10.84289,59.89785
Longyearbyen skole grunnskole,15.61161,78.21022
Samisk videregående skole Karasjok,25.53002,69.46730                              # Hentet fra Google Maps
Samisk videregående skole og reindriftsskole,23.03693,69.02032
Tingvoll vidaregåande skole,8.1945,62.915
Solør videregående skole Internat,12.06585,60.66368
Norges Grønne fagskole - Vea,10.68013,60.95255
Sola videregående skole,5.66574,58.89365
Randaberg videregående skole,5.65469,58.99688
Godalen videregående skole,5.75185,58.95377
Karmsund videregående skole,5.2832,59.40075
Bergeland videregående skole,5.73724,58.96731
Gand videregående skole,5.736870267759746,58.84628731631782                        # Hentet fra Google Maps
Sauda videregående skole avd Sand,6.25106,59.49336
Åkrehamn vidaregåande skole,5.19802,59.25665
Haugaland videregående skole,5.29116,59.40954
Dalane videregående skole,6.01065,58.4648
Øksnevad videregående skole,5.6714290831021525,58.80104938915596                   # Hentet fra Google Maps   
St. Olav videregående skole,5.72504,58.96711
Vardafjell videregående skole,5.29024,59.41164
St Svithun videregående skole,5.6961,58.95606
Strand videregående skole,5.92138,59.0634
Stavanger katedralskole,5.73314,58.96914
Sandnes videregående skole,5.72539,58.85731
Kopervik videregående skole,5.28347,59.28048
Hetland videregående skole,5.7373,58.9343
Skeisvang videregående skole,5.27116,59.42292
Vardø videregående skole,31.10386,70.37164
Alta videregående skole,23.29782,69.97466
Lakselv videregående skole,24.97112,70.04909
Nordkapp videregående skole,25.96886,70.97849
Kirkenes videregående skole,29.99996,69.68848
Vadsø videregående skole,29.73878,70.07809
Brønnøysund videregående skole,12.21088,65.46729
Mosjøen videregående skole,13.19398,65.83784
Polarsirkelen videregående skole,14.15802,66.33096
Fauske videregående skole,15.37525,67.2626
Knut Hamsun videregående skole Joarkkaskåvllå,15.6241,68.08347
Saltdal videregående skole,15.37125,67.08774
Bodø videregående skole,14.38478,67.2784
Bodin videregående skole,14.5543,67.28588
Meløy videregående skole,13.96665,66.81438
Mellomåsen skole og voksenopplæring,14.44512,67.28754
Vest-Lofoten videregående skole,13.62343,68.14589
Aust-Lofoten videregående skole,14.5661,68.23643
Sortland videregående skole avd Sortland,15.40893,68.69659
Sortland videregående skole avd Kleiva,15.27993,68.64895
Hadsel videregående skole,14.90966,68.5667
Andøy videregående skole,16.12912,69.31696
Ung Invest Aib avd Ringerike,10.26184,60.20038
Numedal videregående skole,9.007543162040533,60.16931409740857                            # Hentet fra Google Maps
Buskerud videregående skole,9.93128,59.89492
Ringerike videregående skole,10.25895,60.16425
Gol vidaregåande skule,8.94376,60.70275
Ung Invest Aib avd Drammen,10.26033,59.72279
Lier videregående skole,10.24522,59.75729
Kongsberg videregående skole,9.64767,59.66946
Eiker videregående skole,9.90388,59.77318
St Hallvard videregående skole,10.23804,59.76067
Røyken videregående skole,10.39968,59.73779
Åssiden videregående skole,10.12074,59.75709
Hønefoss videregående skole,10.25552,60.15682
Ål vidaregåande skole avd Ål,8.54795,60.62909
Lena-Valle videregående skole avd Valle,10.81207,60.67723
Valdres vidaregåande skule,9.30756,60.96856
Raufoss videregående skole avd Dokka,10.08038,60.83884
Raufoss videregående skole,10.6045,60.71397
Lena-Valle videregående skole avd Lena,10.81808,60.67647
Gjøvik videregående skole,10.67843,60.80272
Lillehammer videregående skole avd Nord,10.44511,61.1336
Vinstra vidaregåande skule,9.73426,61.59814
Nord-Gudbrandsdal vidaregåande skule,9.5422,61.77895
Gausdal videregående skole,10.21311,61.22477
Søgne videregående skole,7.84089,58.09103
Eilert Sundt videregående skole Studiested Lyngdal,7.06677,58.13524
Byremo videregående skole,7.4078,58.4268
Flekkefjord videregående skole Studiested Flekkefjord,6.66541,58.3041
Eilert Sundt videregående skole Studiested Lista,6.68881,58.09357
Mandal videregående skole,7.43858,58.02573
Kvadraturen videregående skole,8.00212,58.14934
Flekkefjord videregående skole Studiested Kvinesdal,6.95745,58.31528
Sirdal videregående skole,6.72097,58.6705
Vennesla videregående skole,7.9716,58.27714
Vågsbygd videregående skole,7.956,58.12569
Kristiansand katedralskole Gimle,8.01044,58.15996
Stovner videregående skole,10.92677,59.96051
Etterstad videregående skole,10.79645,59.90968
Bjerke videregående skole,10.83648,59.94104
Elvebakken videregående skole,10.75292,59.919
Ulsrud videregående skole,10.85067,59.88579
Ullern videregående skole,10.66345,59.93113
Hellerud videregående skole,10.84019,59.91439
Persbråten videregående skole,10.65787,59.94535
Lambertseter videregående skole,10.81041,59.87888
Holtet videregående skole,10.78564,59.88545
Hartvig Nissens skole,10.79786,59.91581
Oslo Handelsgymnasium,10.7206,59.91399
Foss videregående skole,10.75544,59.92704
Nordvoll skole,10.86458,59.92403
Lønnebakken skole,10.85813,59.94578
Haukåsen skole,10.8626,59.9233
Oslo voksenopplæring Skullerud,10.841774554305376,59.86712779407268                       # Hentet fra Google Maps
Dønski videregående skole,10.50662,59.90678
Drømtorp videregående skole,10.86716,59.716
Rosenvilde videregående skole,10.5086,59.90988
Strømmen videregående skole,11.01473,59.95448
Bleiker videregående skole,10.4456,59.82688
Rud videregående skole,10.50041,59.90809
Vestby videregående skole,10.75801,59.60693
Hvam videregående skole,11.37544,60.10428
Kjelle videregående skole,11.57869,59.88791
Rælingen videregående skole,11.06529,59.92624
Lillestrøm videregående skole,11.04719,59.96041
Asker videregående skole,10.43764,59.83157
Nadderud videregående skole,10.57338,59.91578
Eikeli videregående skole,10.60164,59.93618
Stabekk videregående skole,10.61572,59.90972
Ski videregående skole,10.84896,59.71777
Eidsvoll videregående skole,11.26311,60.33711
Nes videregående skole,11.47996,60.12494
Jessheim videregående skole,11.16245,60.14608
Bjertnes videregående skole,10.88019,60.04901
Skedsmo videregående skole,11.04034,59.96542
Lørenskog videregående skole,10.98476,59.93214
Bjørkelangen videregående skole,11.55888,59.88374
Nesbru videregående skole,10.4851,59.86708
Roald Amundsen videregående skole,10.81262,59.79449
Nesodden videregående skole,10.67788,59.83965
Ås videregående skole,10.79723,59.66369
Larvik kommune Voksenopplæringa,10.01918,59.05261
Spjelkavik videregående skole,6.37479,62.46099
Haram vidaregåande skule,6.44068,62.59509
Hustadvika vidaregåande skole,7.15436,62.85479
Sykkylven vidaregåande skule,6.58931,62.39371
Stranda vidaregåande skule,6.91389,62.306
Surnadal vidaregåande skule,8.71859,62.9825
Ørsta vidaregåande skule,6.12998,62.19599
Kristiansund videregående skole,7.71943,63.11959
Sunndal vidaregåande skole,8.591297991539443,62.66901218245166                         # Hentet fra Google Maps    
Rauma videregående skole,7.68267,62.56393
Borgund vidaregåande skole,6.37262,62.46816
Romsdal videregående skole,7.1913,62.74438
