Navn_x,Breddegrad_x,Lengdegrad_x,Organisasjonsnummer,Navn_y,Breddegrad_y,Lengdegrad_y
Den norske skole - Costa Blanca,38.595811,-0.113364700000034,U90099009,Den norske skole - Costa Blanca,38.595811,-0.113364700000034
Den norske skole - Gran Canaria,27.7783325,-15.692120400000022,U90099017,Den norske skole - Gran Canaria,27.7783325,-15.692120400000022
Den norske skolen i Malaga,36.60399960000001,-4.541974200000027,U90099012,Den norske skolen i Malaga,36.60399960000001,-4.541974200000027                   # kun grunnskole 
Den norske skolen i Rojales,38.0664348,-0.7269490999999562,U90099015,Den norske skolen i Rojales,38.0664348,-0.7269490999999562
Halden montessoriskole AS,59.11809,11.39657,998173108,Halden montessoriskole AS,59.11809,11.39657                                                           # kun grunnskole
Haugesund Toppidrettsgymnas AS,59.42576,5.27431,971816287,Haugesund Toppidrettsgymnas AS,59.42576,5.27431                                                   # kun vgs
International School Of Stavanger avd Undervisning,58.95005,5.65417,974180693,International School Of Stavanger avd Undervisning,58.95005,5.65417
Momo waldorfskole AS,63.36135,10.35149,913003284,Momo waldorfskole AS,63.36135,10.35149
Norlights International School Oslo AS,59.96258,10.69287,915601618,Norlights International School Oslo AS,59.96258,10.69287
Oslo By steinerskole Sti,0.0,0.0,981089065,Oslo By steinerskole Sti,0.0,0.0                                                                                  # kun vgs                                     
Oslo International School,59.91956,10.58345,971845635,Oslo International School,59.91956,10.58345
Rudolf steinerskolen i Bergen skolen,60.34368,5.34308,973159232,Rudolf steinerskolen i Bergen skolen,60.34368,5.34308
Rudolf steinerskolen i Oslo Sti,59.94917,10.65886,974117096,Rudolf steinerskolen i Oslo Sti,59.94917,10.65886                                                # kun grunnskole
Signo Grunn- og videregående skole AS,59.31808,10.15271,998666783,Signo Grunn- og videregående skole AS,59.31808,10.15271
Skagerak International School Sti,59.12004,10.23137,973488783,Skagerak International School Sti,59.12004,10.23137
Steinerskolen på Skjold Helseped Avdeling,60.31017,5.32901,973465112,Steinerskolen på Skjold Helseped Avdeling,60.31017,5.32901                              # kun vgs
Stiftelsen Den Tysk-Norske skolen i Oslo avd grunnskole og videregående,59.93637,10.75914,930591548,Stiftelsen Den Tysk-Norske skolen i Oslo avd grunnskole og videregående,59.93637,10.75914
Stiftelsen steinerskolen Rotvoll,63.43889,10.48563,982196574,Stiftelsen steinerskolen Rotvoll,63.43889,10.48563                                              # kun grunnskole    
Wang Fredrikstad AS,59.21256,10.92896,986779795,Wang Fredrikstad AS,59.21256,10.92896
Wang Hamar AS,60.80167,11.03811,913391470,Wang Hamar AS,60.80167,11.03811
Wang Romerike AS,59.94674,10.95199,825308512,Wang Romerike AS,59.94674,10.95199
Wang Tønsberg AS,59.29502,10.41573,995354071,Wang Tønsberg AS,59.29502,10.41573
Øya videregående skole,63.23681,10.27536,974149966,Øya videregående skole,63.23681,10.27536                                                                 # kun vgs
