Navn,Breddegrad,Lengdegrad,Organisasjonsnummer
Aalesund International School Sti,62.46557,6.25108,995922770
Adventkirken skole Nidelven,63.42554,10.39062,976207815
Akademiet Realfagsungdomsskole Ålesund AS,62.4734,6.15031,933703630
Akademiet realfagsskole Drammen AS,59.7486,10.17168,917635595
Akademiet realfagsskole Oslo AS,59.93356,10.7725,919233532
Akademiet ungdomsskole Asker AS,59.82552,10.45233,935206693
Akademiet ungdomsskole Drammen AS,59.73982,10.18141,935208033
Akademiet ungdomsskole Lier AS,59.76917,10.25233,920382878
Alta Kristne grunnskole SA,69.96777,23.35157,982011019
Andørja montessoriskole,68.91749,17.16436,986615539
Arendal International School (Ais),58.43208,8.74147,990334021
Berg montessoriskole,69.44731,17.29073,995450321
Bergen Kristne grunnskole,60.33899,5.32024,974309424
Bergsbygda montessoriskole,59.08514,9.72094,998797268
Bindalseidet skole SA,65.12693,12.23195,975286444
Birralee International School Trondheim AS avd skole,63.42701,10.39013,973358502
Biss Gausel Sti,58.89721,5.73376,820332342
Biss Sentrum AS,58.97514,5.71299,918535705
Bjerkely skole,59.38501,10.36491,973915886
Bjørgvin montessoriskole,60.34985,5.35076,992780010
Bjørkly skole,64.41061,11.47474,979984766
Bleik og Omegn Montessori Skolelag,69.27299,15.96502,995111322
Bodalen friskole,63.01223,7.58552,990258570
Brandal friskule,62.40125,6.0061,988427535
Bryggja skule AS,61.94246,5.45155,920335195
Buen barne- og ungdomsskole,59.41884,10.68449,880962132
Children's International School Moss AS,59.43952,10.66851,813943492
Childrens International School Fredrikstad AS,59.20195,10.96241,996749681
Childrens International School Sarpsborg AS,59.2921,11.09572,920334806
Costa Blanca Undervisning - Albir,38.5650444,-0.06675730000006297,U90099006
Dalsgrenda montessoriskole SA,66.24875,13.99432,917485976
Danielsen barne- og ungdomsskule Sotra,60.35229,5.13476,982067405
Danielsen ungdomsskole Haugalandet AS,59.38181,5.31215,996700402
Danielsen ungdomsskole Karmøy AS,59.2881,5.24468,898154432
Danielsen ungdomsskule Frekhaug AS,60.51314,5.2405,996700380
Danielsen ungdomsskule Osterøy AS,60.50662,5.43263,995370832
Den Norske skolen i Kenya,59.93109,10.78537,996639924
Den norske skole - Costa Blanca,38.595811,-0.113364700000034,U90099009
Den norske skole - Gran Canaria,27.7783325,-15.692120400000022,U90099017
Den norske skolen i Malaga,36.60399960000001,-4.541974200000027,U90099012
Den norske skolen i Rojales,38.0664348,-0.7269490999999562,U90099015
Discovery International School AS,60.20555,10.36781,822126782
Drottningborg ungdomsskole AS,58.33753,8.58078,914142008
Drøbak Montessori barneskole AS,59.66306,10.63498,933131165
Drøbak Montessori ungdomsskole AS,59.67192,10.6352,975934993
Eidskog montessoriskole SA,59.92635,11.99309,991595465
Ekrehagen skole Adventistsamfunnets Grunnskoler,69.68610,18.95503,973255428                         # Hentet fra Google Maps
Elihu Kristne grunnskole,59.26836,10.44366,975828867
Elsfjord montessoriskole SA,66.10355,13.54507,918532226
Eltoft montessoriskole AS,68.24139,13.68908,911779641
Engesvea barne- og ungdomsskole,61.09497,10.48371,976210743
Fagerenget montessoriskole SA,63.8737,9.88536,917672938
Fagerhaug International School AS,63.47125,10.94562,997271041
Fagerhaug Kristne skole SA,63.47125,10.94562,983451039
Fiksdal friskule SA,62.61732,6.85761,922273510
Finnskogen montessoriskole Ba,60.29833,12.28426,991673628
Foreninga Norheimsund friskule,60.34676,6.1858,989142283
Foreningen Danielsen ungdomsskole Bergen,60.39201,5.33508,973159658
Forus friskole - Bus,58.88313,5.73925,980203883
Fresvik Enspire skule AS,61.06621,6.93118,922174636
Frikult grunnskole AS,66.33781,14.09213,933874583
Gamleveien skole,58.45701,6.01225,973477579
Gjøvikregionen International School Sti,60.7875,10.67782,913559460
Granly skole,59.29085,10.41781,973915908
Grimstad International School AS,58.33753,8.58078,932903717
Grytastranda montessoriskule,62.53366,6.35453,993930954
Grønfjelldal montessoriskole SA,66.34515,14.70906,996773299
Haldde montessoriskole SA,69.93139,23.01776,915258360
Halden montessoriskole AS,59.11809,11.39657,998173108
Hamar Montessori skole Sti,60.82068,11.04787,983522181
Hamarøy montessoriskole,68.02333,15.34934,998260965
Hans Nielsen Hauge grunnskole Oslo,59.96220,10.69099,931451219                                                  # Hentet fra Google Maps
Hans Nielsen Hauges grunnskole Follo AS,59.81297,10.80432,831451572
Harstad montessoriskole SA,68.787,16.586,913755537
Haugesund International School Sti,59.39037,5.24482,915261108
Hedemarken friskole,60.80144,11.30444,979668066
"Heimdal Friskole, Kristen grunnskole Heimdal",63.36135,10.35149,926159534
Helgen montessoriskole,59.25626,9.35907,997189116
Helgådal Montessori SA,63.82074,11.90368,918526560
Hesnes skole montessoriskolen i Grimstad,58.34352,8.61834,986109110
Hildre montessoriskule SA,62.60382,6.35293,995339765
Hjartdal montessoriskule Sti,59.60681,8.70046,920330576
Hjellvik montessoriskule,60.55116,5.40816,917635501
Hjuksebø montessoriskole SA,59.50849,9.3331,811801402
Holmedal montessoriskule,61.36057,5.18777,986256407
Holmestrand Internasjonale montessoriskole Sti,59.47714,10.32171,887232482
Hoppensprett Akademiet AS avd ungdomsskole,60.15228,11.18266,912493881
Hoppensprett Akademiet Brårud AS,60.21297,11.33235,912374076                                                     # Hentet fra Google Maps                                  
Hosanger montessoriskule Sti,60.57019,5.48548,987781475 
Humanistskolen,59.94856,10.73282,914415942
Hundeidvik privatskule AS,62.37458,6.43751,995353113
Hurdal steinerskole,60.40863,11.05092,920312063
Indre Kåfjord barne- og ungdomsskole,69.46923,20.9207,913808932
Innfjorden friskole SA,62.49358,7.56052,913837517
International School Of Bergen avd skole,60.2948,5.28091,974187442
International School Of Stavanger avd Undervisning,58.95005,5.65417,974180693
Jennestad montessoriskole,68.75064,15.3022,913815351
Justøy skole - montessoriskolen i Lillesand Sti,58.20972,8.36429,982944538
Jærtun Lutherske friskule,58.73021,5.66417,987900016
Kfskolen - Jørpeland,59.02712,6.02524,911769646
Kilebygda montessoriskole SA,59.10654,9.43257,994967541
Kjølsdalen montessoriskule SA,61.91747,5.62573,998245508
Kolbeinsvik montessoriskule,60.0432,5.19941,915098541
