Navn,Lengdegrad,Breddegrad
Aalesund International School Sti,6.25108,62.46557
Adventkirken skole Nidelven,10.39062,63.42554
Akademiet Realfagsungdomsskole Ålesund AS,6.15031,62.4734
Akademiet realfagsskole Drammen AS,10.17168,59.7486
Akademiet realfagsskole Oslo AS,10.7725,59.93356
Akademiet ungdomsskole Asker AS,10.45233,59.82552
Akademiet ungdomsskole Drammen AS,10.18141,59.73982
Akademiet ungdomsskole Lier AS,10.25233,59.76917
Alta Kristne grunnskole SA,23.35157,69.96777
Andørja montessoriskole,17.16436,68.91749
Arendal International School (Ais),8.74147,58.43208
Berg montessoriskole,17.29073,69.44731
Bergen Kristne grunnskole,5.32024,60.33899
Bergsbygda montessoriskole,9.72094,59.08514
Bindalseidet skole SA,12.23195,65.12693
Birralee International School Trondheim AS avd skole,10.39013,63.42701
Biss Gausel Sti,5.73376,58.89721
Biss Sentrum AS,5.71299,58.97514
Bjerkely skole,10.36491,59.38501
Bjørgvin montessoriskole,5.35076,60.34985
Bjørkly skole,11.47474,64.41061
Bleik og Omegn Montessori Skolelag,15.96502,69.27299
Bodalen friskole,7.58552,63.01223
Brandal friskule,6.0061,62.40125
Bryggja skule AS,5.45155,61.94246
Buen barne- og ungdomsskole,10.68449,59.41884
Children's International School Moss AS,10.66851,59.43952
Childrens International School Fredrikstad AS,10.96241,59.20195
Childrens International School Sarpsborg AS,11.09572,59.2921
Costa Blanca Undervisning - Albir,-0.0667573000000629,38.5650444
Dalsgrenda montessoriskole SA,13.99432,66.24875
Danielsen barne- og ungdomsskule Sotra,5.13476,60.35229
Danielsen ungdomsskole Haugalandet AS,5.31215,59.38181
Danielsen ungdomsskole Karmøy AS,5.24468,59.2881
Danielsen ungdomsskule Frekhaug AS,5.2405,60.51314
Danielsen ungdomsskule Osterøy AS,5.43263,60.50662
Den Norske skolen i Kenya,10.78537,59.93109
Den norske skole - Costa Blanca,-0.113364700000034,38.595811
Den norske skole - Gran Canaria,-15.692120400000022,27.7783325
Den norske skolen i Malaga,-4.541974200000027,36.60399960000001
Den norske skolen i Rojales,-0.7269490999999562,38.0664348
Discovery International School AS,10.36781,60.20555
Drottningborg ungdomsskole AS,8.58078,58.33753
Drøbak Montessori barneskole AS,10.63498,59.66306
Drøbak Montessori ungdomsskole AS,10.6352,59.67192
Eidskog montessoriskole SA,11.99309,59.92635
Ekrehagen skole Adventistsamfunnets Grunnskoler,18.95503,69.68610                       # Hentet fra Google Maps
Elihu Kristne grunnskole,10.44366,59.26836
Elsfjord montessoriskole SA,13.54507,66.10355
Eltoft montessoriskole AS,13.68908,68.24139
Engesvea barne- og ungdomsskole,10.48371,61.09497
Fagerenget montessoriskole SA,9.88536,63.8737
Fagerhaug International School AS,10.94562,63.47125
Fagerhaug Kristne skole SA,10.94562,63.47125
Fiksdal friskule SA,6.85761,62.61732
Finnskogen montessoriskole Ba,12.28426,60.29833
Foreninga Norheimsund friskule,6.1858,60.34676
Foreningen Danielsen ungdomsskole Bergen,5.33508,60.39201
Forus friskole - Bus,5.73925,58.88313
Fresvik Enspire skule AS,6.93118,61.06621
Frikult grunnskole AS,14.09213,66.33781
Gamleveien skole,6.01225,58.45701
Gjøvikregionen International School Sti,10.67782,60.7875
Granly skole,10.41781,59.29085
Grimstad International School AS,8.58078,58.33753
Grytastranda montessoriskule,6.35453,62.53366
Grønfjelldal montessoriskole SA,14.70906,66.34515
Haldde montessoriskole SA,23.01776,69.93139
Halden montessoriskole AS,11.39657,59.11809
Hamar Montessori skole Sti,11.04787,60.82068
Hamarøy montessoriskole,15.34934,68.02333
Hans Nielsen Hauge grunnskole Oslo,10.69099,59.96220                                    # Hentet fra Google Maps
Hans Nielsen Hauges grunnskole Follo AS,10.80432,59.81297
Harstad montessoriskole SA,16.586,68.787
Haugesund International School Sti,5.24482,59.39037
Hedemarken friskole,11.30444,60.80144
"Heimdal Friskole, Kristen grunnskole Heimdal",10.35149,63.36135
Helgen montessoriskole,9.35907,59.25626
Helgådal Montessori SA,11.90368,63.82074
Hesnes skole montessoriskolen i Grimstad,8.61834,58.34352
Hildre montessoriskule SA,6.35293,62.60382
Hjartdal montessoriskule Sti,8.70046,59.60681
Hjellvik montessoriskule,5.40816,60.55116
Hjuksebø montessoriskole SA,9.3331,59.50849
Holmedal montessoriskule,5.18777,61.36057
Holmestrand Internasjonale montessoriskole Sti,10.32171,59.47714
Hoppensprett Akademiet AS avd ungdomsskole,11.18266,60.15228
Hoppensprett Akademiet Brårud AS,11.33235,60.21297                                  # Hentet fra Google Maps
Hosanger montessoriskule Sti,5.48548,60.57019
Humanistskolen,10.73282,59.94856
Hundeidvik privatskule AS,6.43751,62.37458
Hurdal steinerskole,11.05092,60.40863
Indre Kåfjord barne- og ungdomsskole,20.9207,69.46923
Innfjorden friskole SA,7.56052,62.49358
International School Of Bergen avd skole,5.28091,60.2948
International School Of Stavanger avd Undervisning,5.65417,58.95005
Jennestad montessoriskole,15.3022,68.75064
Justøy skole - montessoriskolen i Lillesand Sti,8.36429,58.20972
Jærtun Lutherske friskule,5.66417,58.73021
Kfskolen - Jørpeland,6.02524,59.02712
Kilebygda montessoriskole SA,9.43257,59.10654
Kjølsdalen montessoriskule SA,5.62573,61.91747
Kolbeinsvik montessoriskule,5.19941,60.0432
Kongshaugen Kristne grunnskole,10.11309,59.10352
Kongstun Kristne friskole,5.8355,58.77827
Kongsvinger montessoriskole SA,12.01812,60.174
Kragerøskjærgården montessoriskole,9.47864,58.85822
Kristelig gymnasium AS grunnskole,10.72948,59.924
Kristen friskole AS,5.70301,58.95177
