Navn,Breddegrad,Lengdegrad,Organisasjonsnummer
Acta bibelskole,58.95488,5.69944,973798995
Aglo videregående skole,63.5333,10.8234,991025057
Akademiet Drammen AS,59.74036097932266,10.18193216616209,985500568
Akademiet Fredrikstad AS Privat videregående skole,59.21384,10.92913,988519480
Akademiet Kristiansand AS,58.15325,8.02905,982759846
Akademiet Norsk restaurantskole Sti,0.0,0.0,913711793
Akademiet Oslo AS,59.92345,10.73179,887664102
Akademiet Sandnes,0.0,0.0,987546603
Akademiet Toppidrettsgymnas Ålesund AS,62.47027,6.18723,911770172
Akademiet Vgs Bergen AS,60.38666,5.33062,986900055
Akademiet Vgs Bislett AS,59.92345,10.73179,988938386
Akademiet Vgs Bragernes Drammen AS,59.7486,10.17168,996789845
Akademiet Vgs Kongsberg AS,59.67378,9.64225,924441747
Akademiet Vgs Møre AS,62.47284,6.16358,888535322
Akademiet Vgs Sandvika AS,59.89269,10.52632,931696068
Akademiet Vgs Ålesund AS,62.4734,6.15031,984800746
Akademiet Ypsilon videregående skole AS,59.7486,10.17168,988938424
Ansgar bibelskole AS,58.18298,8.08403,973112376
Bergen bibelskole Sti,60.37804,5.35595,973937979
Bergen private gymnas AS,60.38746,5.33138,988602671
Bibelskolen Bildøy,60.34462,5.11735,974135604
Bibelskolen Link,58.96837,5.73962,996768856
Bibelskolen Oslo Kristne senter,59.98172,11.01538,973067516
Bibelskolen i Grimstad,58.31169,8.56593,973388436
Bibelskolen i Trondheim Sti,63.42862,10.39237,975146960
Bibelskolen på Fossnes,59.28137,10.25776,873668482
Blå Kors videregående skole Grimstad AS,58.33753,8.58078,922100101
Blå Kors videregående skole Øvrebø AS,58.2877,7.87645,973391100
Briskeby videregående skole AS,0.0,0.0,986737162
Bybroen videregående skole AS,63.429,10.40036,971816279
Båtsfjord private videregående skole AS,70.63277,29.70523,914837367
Campus Blå videregående skole AS,65.46981,12.13377,818509812
Create - Lillehammer Kreative videregående skole AS,61.11788,10.46692,920330754
Credo bibelskole,60.33899,5.32024,973840991
Danielsen Intensivgymnas,60.39271,5.33095,882067432
Danielsen videregående skole,60.393,5.33068,873159642
Den norske skole - Costa Blanca,38.595811,-0.113364700000034,U90099009
Den norske skole - Gran Canaria,27.7783325,-15.692120400000022,U90099017
Den norske skolen i Rojales,38.0664348,-0.7269490999999562,U90099015
Drottningborg Vgs AS,58.34851,8.64152,974117738
Evangeliesenterets bibelskole,59.46509,10.81341,975212491
Feiring videregående skole AS,60.47763,11.16565,825322922
Filadelfia bibelskole,59.9178,10.73714,988421006
