Navn,Lengdegrad,Breddegrad
Acta bibelskole,5.69944,58.95488
Aglo videregående skole,10.8234,63.5333
Akademiet Drammen AS,10.18193216616209,59.74036097932266
Akademiet Fredrikstad AS Privat videregående skole,10.92913,59.21384
Akademiet Kristiansand AS,8.02905,58.15325
Akademiet Norsk restaurantskole Sti,10.76583,59.91056                                # Hentet fra Google Maps
Akademiet Oslo AS,10.73179,59.92345
Akademiet Sandnes,5.73238,58.85071                                              # Hentet fra Google Maps
Akademiet Toppidrettsgymnas Ålesund AS,6.18723,62.47027
Akademiet Vgs Bergen AS,5.33062,60.38666
Akademiet Vgs Bislett AS,10.73179,59.92345
Akademiet Vgs Bragernes Drammen AS,10.17168,59.7486
Akademiet Vgs Kongsberg AS,9.64225,59.67378
Akademiet Vgs Møre AS,6.16358,62.47284
Akademiet Vgs Sandvika AS,10.52632,59.89269
Akademiet Vgs Ålesund AS,6.15031,62.4734
Akademiet Ypsilon videregående skole AS,10.17168,59.7486
Ansgar bibelskole AS,8.08403,58.18298
Bergen bibelskole Sti,5.35595,60.37804
Bergen private gymnas AS,5.33138,60.38746
Bibelskolen Bildøy,5.11735,60.34462
Bibelskolen Link,5.73962,58.96837
Bibelskolen Oslo Kristne senter,11.01538,59.98172
Bibelskolen i Grimstad,8.56593,58.31169
Bibelskolen i Trondheim Sti,10.39237,63.42862
Bibelskolen på Fossnes,10.25776,59.28137
Blå Kors videregående skole Grimstad AS,8.58078,58.33753
Blå Kors videregående skole Øvrebø AS,7.87645,58.2877
Briskeby videregående skole AS,10.25271,59.76928                                # Hentet fra Google Maps
Bybroen videregående skole AS,10.40036,63.429
Båtsfjord private videregående skole AS,29.70523,70.63277
Campus Blå videregående skole AS,12.13377,65.46981
Create - Lillehammer Kreative videregående skole AS,10.46692,61.11788
Credo bibelskole,5.32024,60.33899
Danielsen Intensivgymnas,5.33095,60.39271
Danielsen videregående skole,5.33068,60.393
Den norske skole - Costa Blanca,-0.113364700000034,38.595811
Den norske skole - Gran Canaria,-15.692120400000022,27.7783325
Den norske skolen i Malaga,-4.541974200000027,36.60399960000001
Den norske skolen i Rojales,-0.7269490999999562,38.0664348
Drottningborg Vgs AS,8.64152,58.34851
Evangeliesenterets bibelskole,10.81341,59.46509
Feiring videregående skole AS,11.16565,60.47763
Filadelfia bibelskole,10.73714,59.9178
Fjellhaug bibelskole,10.78596,59.93021                                          # Hentet fra Google Maps
Fjellheim bibelskole,18.93087,69.63869
Forus friskole - Vgs,5.73894,58.88395
Framnes Kristne vidaregåande skule,6.18418,60.3498
Gjennestad videregående skole,10.27398,59.23032
Halden montessoriskole AS,11.39657,59.11809
Hans Nielsen Hauge videregående skole,10.9386,59.21174
Hauge videregående skole,5.26223,59.37473
Haugesund Toppidrettsgymnas AS,5.27431,59.42576
Havbruksakademiet Nord AS,13.58109,68.1299
Helsepedagogisk steinerskole på Hedemarken,11.1034,60.77756
Heltberg private gymnas,10.73242,59.9491
Hjerleid handverksskole AS,9.2448,61.98317
Hop videregående skole AS,5.222,60.46604
Hoppensprett Akademiet Vgs Jessheim AS,11.18266,60.15228
International School Of Stavanger avd Undervisning,5.65417,58.95005
Kongshaug Musikkgymnas,5.38534,60.15129
Kragerø kunstskole AS,9.40858,58.86461
Kristelig gymnasium AS videregående skole,10.72948,59.924
Kristen videregående skole Nordland Sti,13.03525,66.19877
Kristen videregående skole Trøndelag,10.3816,63.3601
Krokeide videregående skole AS,5.28764,60.22295
Kvitsund gymnas,8.52013,59.38135
Kvs-Bygland AS,7.8028,58.83103
Kvs-Lyngdal AS,7.05024,58.12425
Lev bibelskole Sti,8.00266,58.14828
Ljabruskolen - steinerskole for Elever Med Spesielle Behov Sti,10.80442,59.8499
Lukas videregående skole AS,10.48351,63.43896
Lundeneset Vgs,5.77295,59.60809
Lycee Francais Rene Cassin avd Vidregående skole,10.71729,59.91702
Metis videregående AS,5.33138,60.38746
Misjonsskolen Gå Ut Senteret,10.39215,63.42982
Momo waldorfskole AS,10.35149,63.36135
Motio AS,8.92865,58.62613                                                       # Hentet fra Google Maps
Møbelsnekkerskolen AS,11.32593,59.5654
Natur videregående skole Sti,10.88051,59.9362
Nordborg Vgs,17.99658,69.22912
Norges Realfagsgymnas Sandvika AS,10.52632,59.89269
Norges Toppidrettsgymnas Bergen AS,5.35898,60.36712
Norges Toppidrettsgymnas Bodø AS,14.38304,67.27618
Norges Toppidrettsgymnas Bærum AS,10.59114,59.92561
Norges Toppidrettsgymnas Geilo AS,8.22571,60.53654
Norges Toppidrettsgymnas Kongsvinger AS,12.00542,60.19129
Norges Toppidrettsgymnas Lillehammer AS,10.47277,61.125
Norges Toppidrettsgymnas Tromsø AS,18.93502,69.64967
Norheim Vgs AS,5.3112,59.38214
Norlights International School Oslo AS,10.69287,59.96258
Norsk yrkesdykkerskole AS,10.58473,59.73542                                         # Hentet fra Google Maps
