Navn_x,Breddegrad_x,Lengdegrad_x,Organisasjonsnummer,Navn_y,Breddegrad_y,Lengdegrad_y,Aktornavn,StatusDescription,GodkjentEtterLov,_merge
,,,995614251,,,,Aalesund International School Sti,I drift,privatskoleloven,right_only
,,,989004255,,,,Aglo videregående skole,I drift,privatskoleloven,right_only
,,,985475296,,,,Akademiet Drammen AS,I drift,privatskoleloven,right_only
,,,988467944,,,,Akademiet Fredrikstad AS,I drift,privatskoleloven,right_only
,,,980412024,,,,Akademiet Kristiansand AS,I drift,privatskoleloven,right_only
,,,913443330,,,,Akademiet Norsk Restaurantskole Sti,I drift,privatskoleloven,right_only
,,,987619295,,,,Akademiet Oslo AS,I drift,privatskoleloven,right_only
,,,911746298,,,,Akademiet Realfagsskole Drammen AS,I drift,privatskoleloven,right_only
,,,911768151,,,,Akademiet Realfagsskole Oslo AS,I drift,privatskoleloven,right_only
,,,918520155,,,,Akademiet Realfagsungdomsskole Ålesund AS,I drift,privatskoleloven,right_only
,,,887504822,,,,Akademiet Sandnes AS,I drift,privatskoleloven,right_only
,,,811731242,,,,Akademiet Toppidrettsgymnas Ålesund AS,I drift,privatskoleloven,right_only
,,,926391135,,,,Akademiet Ungdomsskole Asker AS,I drift,privatskoleloven,right_only
,,,913439694,,,,Akademiet Ungdomsskole Drammen AS,I drift,privatskoleloven,right_only
,,,920351433,,,,Akademiet Ungdomsskole Lier AS,I drift,privatskoleloven,right_only
,,,886897502,,,,Akademiet Vgs Bergen AS,I drift,privatskoleloven,right_only
,,,988930687,,,,Akademiet Vgs Bislett AS,I drift,privatskoleloven,right_only
,,,996768406,,,,Akademiet Vgs Bragernes Drammen AS,I drift,privatskoleloven,right_only
,,,924427736,,,,Akademiet Vgs Kongsberg AS,I drift,privatskoleloven,right_only
,,,981120973,,,,Akademiet Vgs Møre AS,I drift,privatskoleloven,right_only
,,,911732912,,,,Akademiet Vgs Sandvika AS,I drift,privatskoleloven,right_only
,,,884744342,,,,Akademiet Vgs Ålesund AS,I drift,privatskoleloven,right_only
,,,988930695,,,,Akademiet Ypsilon videregående Skole AS,I drift,privatskoleloven,right_only
,,,985621519,,,,Alta Kristne Grunnskole SA,I drift,privatskoleloven,right_only
,,,986556427,,,,Andørja montessoriskole,I drift,privatskoleloven,right_only
,,,993887595,,,,Berg montessoriskole,I drift,privatskoleloven,right_only
,,,987769947,,,,Bergen Kristne grunnskole,I drift,privatskoleloven,right_only
,,,988594024,,,,Bergen private gymnas AS,I drift,privatskoleloven,right_only
,,,995312875,,,,Bergsbygda montessoriskole,I drift,privatskoleloven,right_only
,,,991288716,,,,Bindalseidet Skole SA,I drift,privatskoleloven,right_only
,,,936269044,,,,Birralee International School Trondheim AS,I drift,privatskoleloven,right_only
,,,920222315,,,,Biss Gausel Sti,I drift,privatskoleloven,right_only
,,,818476272,,,,Biss Sentrum AS,I drift,privatskoleloven,right_only
,,,989695975,,,,Bjerkely skole,I drift,privatskoleloven,right_only
,,,992765828,,,,Bjørgvin montessoriskole,I drift,privatskoleloven,right_only
,,,979955316,,,,Bjørkly Skole - stiftelsen Namsos Kristne grunnskole,I drift,privatskoleloven,right_only
,,,994627988,,,,Bleik og Omegn Montessori Skolelag,I drift,privatskoleloven,right_only
,,,922084610,,,,Blå Kors videregående Skole Grimstad AS,I drift,privatskoleloven,right_only
,,,971534346,,,,Blå Kors videregående Skole Øvrebø AS,I drift,privatskoleloven,right_only
,,,990093016,,,,Bodalen Friskole SA,I drift,privatskoleloven,right_only
