Navn_x,Breddegrad_x,Lengdegrad_x,Organisasjonsnummer,Navn_y,Breddegrad_y,Lengdegrad_y,Aktornavn,StatusDescription,GodkjentEtterLov,_merge
,,,811801402,Hjuksebø montessoriskole SA,59.50849,9.3331,,,,left_only
,,,813943492,Children's International School Moss AS,59.43952,10.66851,,,,left_only
,,,816578892,Wang Ung Sandnes AS,58.85992,5.72297,,,,left_only
,,,816668212,Kongstun Kristne friskole,58.77827,5.8355,,,,left_only
,,,816691842,Norges Realfagsungdomsskole Sandvika AS,59.89667,10.52295,,,,left_only
Campus Blå videregående skole AS,65.46981,12.13377,818509812,,,,,,,left_only
,,,819260702,Oasen skole Vågsbygd AS,58.1197,7.94784,,,,left_only
,,,820332342,Biss Gausel Sti,58.89721,5.73376,,,,left_only
,,,822126782,Discovery International School AS,60.20555,10.36781,,,,left_only
Wang Romerike AS,59.94674,10.95199,825308512,Wang Romerike AS,59.94674,10.95199,,,,left_only
Feiring videregående skole AS,60.47763,11.16565,825322922,,,,,,,left_only
,,,828643762,Tverlandet montessoriskole SA,66.01369,12.91505,,,,left_only
,,,829325942,"Skagerak International School, Tønsberg AS",59.27051,10.40571,,,,left_only
,,,831451572,Hans Nielsen Hauges grunnskole Follo AS,59.81297,10.80432,,,,left_only
,,,873084022,Rudolf steinerskolen Lørenskog Sti,59.91315,10.93832,,,,left_only
Danielsen videregående skole,60.393,5.33068,873159642,,,,,,,left_only
Krokeide videregående skole AS,60.22295,5.28764,873255692,,,,,,,left_only
Lev bibelskole Sti,58.14828,8.00266,873390522,,,,,,,left_only
,,,873441852,Steinerskolen i Tromsø Sti,69.64095,18.93474,,,,left_only
Urtehagen videregående privatskole Sti,59.9134,10.76078,873489502,,,,,,,left_only
,,,873501162,Stiftelsen steinerskolen i Kristiansand,58.15918,8.01523,,,,left_only
Norges Toppidrettsgymnas Lillehammer AS,61.125,10.47277,873600152,,,,,,,left_only
Bibelskolen på Fossnes,59.28137,10.25776,873668482,,,,,,,left_only
Lundeneset Vgs,59.60809,5.77295,874117722,,,,,,,left_only
Fjellheim bibelskole,69.63869,18.93087,874137472,,,,,,,left_only
,,,876210762,Tyrifjord barne- og ungdomsskole,60.06845,10.17166,,,,left_only
,,,876599112,"Stiftelsen Møre barne- og Ungdomsskule, Ålesund",62.43412,6.39917,,,,left_only
,,,880962132,Buen barne- og ungdomsskole,59.41884,10.68449,,,,left_only
Danielsen Intensivgymnas,60.39271,5.33095,882067432,,,,,,,left_only
,,,884675812,Nidaros idrettsungdomsskole Sti,63.36776,10.38058,,,,left_only
,,,884791162,Steinerskolen på Eidsvoll,60.28651,11.24116,,,,left_only
,,,885142362,Nyskolen i Oslo grunnskole,59.86345,10.83882,,,,left_only
,,,886086202,Stiftelsen Kongsberg International School,0.0,0.0,,,,left_only
,,,887232482,Holmestrand Internasjonale montessoriskole Sti,59.47714,10.32171,,,,left_only
Akademiet Oslo AS,59.92345,10.73179,887664102,,,,,,,left_only
Stiftelsen Telemark Toppidrett gymnas,59.21206,9.59073,888361332,,,,,,,left_only
Akademiet Vgs Møre AS,62.47284,6.16358,888535322,,,,,,,left_only
,,,888820132,Toten montessoriskole,60.59788,10.73428,,,,left_only
,,,897457962,Oasen skole Grenland AS,59.20725,9.56798,,,,left_only
,,,898154432,Danielsen ungdomsskole Karmøy AS,59.2881,5.24468,,,,left_only
,,,898211932,Ulvestad barneskule AS,62.16595,5.9314,,,,left_only
